zone,code
Abkhazia,7840
Abkhazia-Mobile (A-Mobile),79407
Abkhazia-Mobile (Aquafon),79409
Aeromobile,88299
Afghanistan,93
Afghanistan-Mobile (AWCC),9370
Afghanistan-Mobile (AWCC),9371
Afghanistan-Mobile (Etisalat),9373
Afghanistan-Mobile (Etisalat),9378
Afghanistan-Mobile (MTN),9376
Afghanistan-Mobile (MTN),9377
Afghanistan-Mobile (Others),9375
Afghanistan-Mobile (Roshan),9372
Afghanistan-Mobile (Roshan),9379
Afghanistan-Mobile (Salaam),9374
Afghanistan-Mobile (Wasel),937500
Afghanistan-Mobile (Wasel),937501
Afghanistan-Mobile (Wasel),937502
Afghanistan-Mobile (Wasel),937503
Afghanistan-Mobile (Wasel),937504
Alaska,1907
Albania,355
Albania-Mobile (AMC),35568
Albania-Mobile (Eagle),35567
Albania-Mobile (Plus),35566
Albania-Mobile (Vodafone),35569
Albania-Premium Services,35547285
Albania-Premium Services,35552670
Albania-Tirana,355422
Albania-Tirana,355424
Algeria,213
Algeria CAT,2131
Algeria-Algiers,21320
Algeria-Algiers,21321
Algeria-Algiers,21322
Algeria-Mobile,2136
Algeria-Mobile (Orascom),2137
Algeria-Mobile (Wataniya),2135
Andorra,376
Andorra-Mobile,3763
Andorra-Mobile,3764
Andorra-Mobile,3765
Andorra-Mobile,3766
Angola,244
Angola - Mobile (Africell),24495
Angola - Mobile (Movicel),24491
Angola - Mobile (Movicel),24499
Angola-Mobile (Unitel),24492
Angola-Mobile (Unitel),24493
Angola-Mobile (Unitel),24494
Anguilla,1264
Anguilla PRS,1264539
Anguilla PRS,1264540
Anguilla-Mobile,1264235
Anguilla-Mobile,1264469
Anguilla-Mobile,1264476
Anguilla-Mobile,1264536
Anguilla-Mobile,1264537
Anguilla-Mobile,1264538
Anguilla-Mobile,1264543
Anguilla-Mobile,1264729
Anguilla-Mobile,1264772
Anguilla-Mobile (Digicel),1264581
Anguilla-Mobile (Digicel),1264582
Anguilla-Mobile (Digicel),1264583
Anguilla-Mobile (Digicel),1264584
Antarctic,672
Antarctic Global Networks,88234
